Symbol
EURUSD=X
GBPUSD=X
USDJPY=X
USDCHF=X
AUDUSD=X
USDCAD=X
NZDUSD=X
EURJPY=X
GBPJPY=X
EURGBP=X
GC=F
SI=F
CL=F
BZ=F
NG=F
HG=F
ZC=F
ZW=F
ZS=F
^GSPC
^DJI
^IXIC
^RUT
^FTSE
^GDAXI
^FCHI
^N225
^HSI
000001.SS
^STI
^AXJO
^NSEI
^BSESN
