Symbol
AAPL
MSFT
AMZN
NVDA
META
TSLA
BR.B
GOOGL
GOOG
UNH
XOM
JNJ
V
JPM
WMT
PG
MA
HD
CVX
LLY
ABBV
MRK
PEP
KO
COST
AVGO
TMO
MCD
CSCO
ACN
ABT
DHR
WFC
NKE
ADBE
CRM
TXN
NEE
PM
NFLX
AMD
UPS
BMY
RTX
ORCL
HON
QCOM
LOW
INTC
IBM
CAT
BA
SBUX
AMGN
GS
INTU
SPGI
BLK
DE
ELV
MDLZ
ADI
GILD
ADP
LRCX
TJX
REGN
SYK
CI
CVS
MO
ZTS
ISRG
PLD
CB
MMC
SCHW
PFE
BDX
CME
AMAT
BKNG
AXP
TMUS
MDT
SO
DUK
NOC
BSX
ITW
APD
ICE
FI
EOG
PNC
CL
SHW
FCX
ETN
CSX
WM
USB
TGT
HUM
MU
SLB
MCK
AON
MCO
GM
